checkpoint,epoch_completed,global_step,checkpoint_sha256,seed,prompt_id,text,n_timesteps,temperature,length_scale,vocoder_run,duration_seconds,peak_abs,rms,spectral_centroid_mean_hz_active,spectral_centroid_p95_hz_active,centroid_gt_4khz_active_fraction,hf_energy_ratio_gt6khz_active_mean,hf_energy_ratio_gt6khz_active_p95,mel_bins,mel_frames,mel_mean,mel_std,mel_top20_mean,mel_top20_std,mel_top20_minus_all_mean,mel_p01,mel_p99
E200,200,100400,b3235e8bff23c6241119add85e57dccfa1e88ed2cf2ed51bed8a3c305dee5c54,1004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.201269841269841,0.3947873711585998,0.0503765947964057,2675.820652302776,7687.188458952667,0.3583815028901734,0.215200837100919,0.9362105496221108,80,448,-6.293325424194336,2.688596248626709,-6.739643573760986,2.7559149265289307,-0.4463181495666504,-11.633409576416016,-0.9204890966415396
E200,200,100400,b3235e8bff23c6241119add85e57dccfa1e88ed2cf2ed51bed8a3c305dee5c54,2004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.201269841269841,0.4244304597377777,0.0533418551902655,2557.955279789285,7603.163862607373,0.3002832861189802,0.2054740506252103,0.9075582897232448,80,448,-6.275115013122559,2.6812539100646973,-6.805887699127197,2.7153031826019287,-0.5307726860046387,-11.607200508117676,-0.8304169797897334
E200,200,100400,b3235e8bff23c6241119add85e57dccfa1e88ed2cf2ed51bed8a3c305dee5c54,3004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.201269841269841,0.4109269082546234,0.0526024963226658,2800.4678026269416,7725.140180375524,0.3591954022988505,0.2332434669096446,0.9403389805176936,80,448,-6.270247459411621,2.662893533706665,-6.7466230392456055,2.731142044067383,-0.4763755798339844,-11.553246269226074,-0.910653586387634
E200,200,100400,b3235e8bff23c6241119add85e57dccfa1e88ed2cf2ed51bed8a3c305dee5c54,4004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.201269841269841,0.4383494555950165,0.0498136294776571,2614.11419480703,7501.2242375760925,0.3162393162393162,0.2136768206622432,0.9251593227157348,80,448,-6.300359725952148,2.6829469203948975,-6.784300804138184,2.745246648788452,-0.4839410781860351,-11.705827159881592,-0.9962046003341674
E200,200,100400,b3235e8bff23c6241119add85e57dccfa1e88ed2cf2ed51bed8a3c305dee5c54,5004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.201269841269841,0.4436821937561035,0.0503883417097509,2665.08353140699,7632.141085020195,0.3400576368876081,0.2020758734151861,0.8911087330417316,80,448,-6.286654472351074,2.671414852142334,-6.757700443267822,2.7458126544952393,-0.471045970916748,-11.653180170059204,-0.9420713996887206
E280,280,140560,081cf4012a4087f437b8bf2fa0a115da931c5aff26fe22a67acb4f25707cb7a9,1004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.468299319727891,0.3451370000839233,0.0481616713156376,2613.34957141637,7675.564339038975,0.326975476839237,0.2177399929929842,0.9452058547371228,80,471,-6.496061325073242,2.8081040382385254,-6.966350555419922,2.8407862186431885,-0.4702892303466797,-11.776685180664062,-0.9558373737335208
E280,280,140560,081cf4012a4087f437b8bf2fa0a115da931c5aff26fe22a67acb4f25707cb7a9,2004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.468299319727891,0.4534434974193573,0.0492653693204228,2487.2391915946526,7487.26950878729,0.3159340659340659,0.1939544662394463,0.9138316099770196,80,471,-6.472004413604736,2.7979609966278076,-7.0058794021606445,2.8345248699188232,-0.5338749885559082,-11.824949264526367,-0.9498451352119446
E280,280,140560,081cf4012a4087f437b8bf2fa0a115da931c5aff26fe22a67acb4f25707cb7a9,3004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.468299319727891,0.3976283371448517,0.0487246637869754,2601.1036743186283,7757.035780695121,0.3342465753424657,0.2144278949607693,0.942584017241799,80,471,-6.4658403396606445,2.8018200397491455,-6.951635837554932,2.841970205307007,-0.4857954978942871,-11.73250961303711,-0.8797143888473511
E280,280,140560,081cf4012a4087f437b8bf2fa0a115da931c5aff26fe22a67acb4f25707cb7a9,4004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.468299319727891,0.4391543865203857,0.0488569324994813,2587.2055579467893,7674.285607425291,0.3188010899182561,0.215396585684879,0.9494051257073596,80,471,-6.495248794555664,2.82092022895813,-7.025660514831543,2.8538639545440674,-0.5304117202758789,-11.834672927856445,-0.9804202880859376
E280,280,140560,081cf4012a4087f437b8bf2fa0a115da931c5aff26fe22a67acb4f25707cb7a9,5004,D01,The sixth street shuttle stopped beside three freshly painted shops.,10,0.667,1.0,cori_adapted_bigvgan_20260817T022729Z,5.468299319727891,0.4060486853122711,0.0491071780566431,2574.4506045792117,7769.992745603033,0.3152173913043478,0.202284701357313,0.9121735704685336,80,471,-6.488154888153076,2.804503917694092,-6.971444129943848,2.840421676635742,-0.4889912605285644,-11.81116771697998,-0.9289836883544922
